reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Aiston, G. 1928 Chipped stone tools of the Aboriginal tribes east and north-east of Lake George, South Australia. Papers and Proceedings of the Royal Society of Tasmania 123–131.",paper,1928,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Aiston, G. 1928 Chipped stone tools of the Aboriginal tribes east and north-east of Lake George, South Australia. Papers and Proceedings of the Royal Society of Tasmania 123–131.",paper,1928,123,skin scraper,yes,subcategory,"""discard core""",na,broad,no,explicit,no,no,no,typological,South Australia,
"Aiston, G. 1928 Chipped stone tools of the Aboriginal tribes east and north-east of Lake George, South Australia. Papers and Proceedings of the Royal Society of Tasmania 123–131.",paper,1928,123,Tartar's cap scraper,yes,subcategory,"""discard core""",na,broad,no,explicit,no,no,no,typological,South Australia,
"Aiston, G. 1928 Chipped stone tools of the Aboriginal tribes east and north-east of Lake George, South Australia. Papers and Proceedings of the Royal Society of Tasmania 123–131.",paper,1928,123,upright scraper,yes,subcategory,"""discard core""",na,broad,no,explicit,no,no,no,typological,South Australia,
"Akerman, K. 1979 Heat and Lithic Technology in the Kimberleys, W. A. Archaeology and Physical Anthropology in Oceania 14(2):144–151.",paper,1979,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 1979 Heat and Lithic Technology in the Kimberleys, W. A. Archaeology and Physical Anthropology in Oceania 14(2):144–151.",paper,1979,na,blade core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 1990 Tools, Weapons and Utensils. Canberra, Australian Government Publishing Service.",book,1990,4,core,yes,category,"""The piece of raw material from which flakes will be struck""",na,broad,no,explicit,no,no,implicit,typological,Australia,
"Akerman, K. 1990 Tools, Weapons and Utensils. Canberra, Australian Government Publishing Service.",book,1990,4,bi-polar core,yes,category,"""bi-polar cores usually exhibit crushing at each end""",na,na,no,no,no,no,explicit,typological,Australia,
"Akerman, K. 1993 The status of the horsehoof core. Records of the Australian Museum Supplement 17: 125–127.",paper,1993,125-127,horsehoof core,yes,subcategory,"""In conclusion, I return to the question of whether the horsehoof is a core, a core-tool or the worked out remnant of a core-tool. As I discuss above, certain characteristics on the specimens I have examined argue (sic) for their status as tools. Yet, other equally valid interpretations may be due partly to the fact that we are not always examining the same kinds of specimens. 'Horsehoof', as a broad category, could be cores in one context but tools in another.""",na,na,no,explicit,explicit,no,explicit,typological,Australia,
"Akerman, K. 1993 The status of the horsehoof core. Records of the Australian Museum Supplement 17: 125–127.",paper,1993,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Akerman, K. 1993 The status of the horsehoof core. Records of the Australian Museum Supplement 17: 125–127.",paper,1993,na,pyramidal core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Akerman, K. 2004 ‘Stoning Fish?’: A Hitherto Unrecorded Class of Stone Artefact from the Coastal Pilbara. Australian Aboriginal Studies (1).",paper,2004,na,yodda,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,horsehoof  core,yes,subcategory,"""Specialised core tools of the type known in Australia as 'horsehoof cores' are also found in this area - these are usually single-platform cores, of about 500 - 1000 g weight used as chopping or adzing tools. Multi-platformed examples do occur, however (Cooper 1943:Figs. 9-11). They are characterised by a series of stacked step-fractures around the perimeter of the platform that often deeply undercut the distal sections of the core. In use the platform serves as the base of the tool and the step-flaked margin forms a a steep-edged chopping and planing tool. Flenniken and White (1985:135) suggest that horsehoof cores are in fact normal producer cores showing platform preparation. I have, I think demonstrated that they are tools in their own right and that the process of deliberately creating step-fractures was an edge resharpening method that reduced gross weight loss and conserved the mass of the material (Akerman 1993:125-127).""","Akerman, K. 1993 The status of the horsehoof core. Records of the Australian Museum Supplement 17:125–127.

Cooper, H.M. 1943 Large stone implements from South Australia. Records of the South Australian Museum 7:343–369.

Flenniken, J.J. and J.P. White 1985 Australian flaked stone tools: a technological perspective. Records of the Australian Museum 36:131–151.",na,no,explicit,explicit,no,explicit,typological,Western Australia,
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,single-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,producer core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
