"","term","sub_count"
"1","horsehoof core",28
"2","bipolar core",27
"3","bifacial core",16
"4","single platform core",16
"5","core tool",15
"6","blade core",14
"7","bidirectional core",13
"8","multiplatform core",13
"9","unidirectional core",12
"10","multidirectional core",10
"11","core fragment",9
"12","microblade core",9
"13","test core",8
"14","unifacial core",8
"15","flake core",7
"16","nuclear tool",6
"17","prismatic core",6
"18","radial core",6
"19","chopper",5
"20","burin blade core",4
"21","multiple core",4
"22","prepared core",4
"23","secondary core",4
"24","burin core",3
"25","conical core",3
"26","core scraper",3
"27","coroid",3
"28","flake blank",3
"29","karta",3
"30","pebble chopper",3
"31","polymorphic core",3
"32","primary core",3
"33","tranchet core",3
"34","Levallois core",2
"35","amorphous core",2
"36","bifacial cobble core",2
"37","biplatform core",2
"38","bipolar/scalar pieces",2
"39","core implement",2
"40","core with preparation",2
"41","corescraper",2
"42","fabricator",2
"43","opposed core",2
"44","other core",2
"45","retouched core",2
"46","shark's tooth core",2
"47","split pebble",2
"48","tertiary core",2
"49","tranchet flake core",2
"50","trimmed core",2
"51","uniplatform core",2
"52","unprepared core",2
"53","utilised core",2
"54","""flaked"" pebble",1
"55","Camooweal multiple facet blade core",1
"56","Camooweal multiple scar core",1
"57","Camooweal standard blade core",1
"58","Camooweal standard method blade core",1
"59","Camooweal standard method blade core variant 1",1
"60","Camooweal standard method blade core variant 2",1
"61","Camooweal standard method blade core variant 3",1
"62","Camooweal standard method blade core variant 4",1
"63","Camooweal standard method blade core variant 5",1
"64","Camooweal standard method blade core variant 6",1
"65","Tartar's cap scraper",1
"66","alternate platform core",1
"67","alternate platform core or nucleus",1
"68","alternatively flake core",1
"69","amorphous or expedient core",1
"70","bevel-edged tool",1
"71","biconical core",1
"72","biface pebble tool",1
"73","biface trimmed core implement",1
"74","bifacial centripetal quartz crystal core Type 7",1
"75","bifacial end truncation
x 1 quartz crystal core Type 3",1
"76","bifacial end truncation
x 2 quartz crystal core Type 4",1
"77","bifacial tablet core",1
"78","bipolar core core",1
"79","bipolar core quartz",1
"80","bipolar micro-cores",1
"81","bipolar piece",1
"82","bipyramid disc core",1
"83","bladelet core",1
"84","broken bipolar core",1
"85","broken core",1
"86","chopper or chopping tool",1
"87","cobble core",1
"88","columnar quartz crystal core Type 9",1
"89","compound platform core or nucleus",1
"90","conical and semi-conical core",1
"91","core burin",1
"92","core fragment tool",1
"93","core implement or coroid",1
"94","core quartz",1
"95","core subtype 1a",1
"96","core tool fragment",1
"97","core with discrete platforms",1
"98","core with no visible preparation",1
"99","core with unidirectional flaking from a striking platform",1
"100","coroid fabricators",1
"101","coroid implement",1
"102","coroid pieces",1
"103","cuboid core",1
"104","discoidal core",1
"105","discoidal or bifacial core",1
"106","dual platform core",1
"107","end truncation, mixture quartz crystal core Type 5",1
"108","exhausted core",1
"109","flake blank core",1
"110","flaked cobble",1
"111","flaked fragment",1
"112","flaked pebble",1
"113","flat core",1
"114","flatbase circular core",1
"115","formal or prepared core",1
"116","freehand core",1
"117","glass core",1
"118","globular core",1
"119","gouge",1
"120","handaxe",1
"121","handaxe provisional type 5",1
"122","high backed core",1
"123","high-crowned scraper",1
"124","horse-hoof core",1
"125","horsehoof  core",1
"126","implement core",1
"127","indeterminate core",1
"128","indiscriminate platform core or nucleus",1
"129","informal core",1
"130","informal or amorphous core",1
"131","informal type I core",1
"132","informal type II core",1
"133","informal type III core",1
"134","initial core",1
"135","initial quartz core",1
"136","irregularly flake core",1
"137","kodja",1
"138","large biface",1
"139","large core",1
"140","large core with multiple striking platforms subtype 1c",1
"141","lateral core",1
"142","macro-blade core",1
"143","micro-core",1
"144","micro-core with multiple striking platforms subtype 1e",1
"145","micro-core with single striking platforms subtype 1d",1
"146","microlithic core",1
"147","modified core or chopper",1
"148","multifaceted core",1
"149","multiplatform early reduction core",1
"150","multiplatform or revolved core",1
"151","multiplatform quartz crystal core Type 8",1
"152","multiplatformed core",1
"153","multiple platform core",1
"154","multiple platform other core",1
"155","n/a core",1
"156","nodule core",1
"157","nucleus Levallois à pointe",1
"158","other crystal core Type 10",1
"159","other early reduction core",1
"160","pebble tool",1
"161","percussion flaked core",1
"162","pièces écaillées core",1
"163","polygonal nucleus",1
"164","polyhedral core",1
"165","pre-core",1
"166","prismatic nucleus with a simple platform",1
"167","producer core",1
"168","pure core",1
"169","push-bike seat axe",1
"170","pyramidal core",1
"171","radial or centripetal cores",1
"172","reduced outcrop",1
"173","reduced quartz core",1
"174","retouched/utilised core",1
"175","rotated core",1
"176","scalar core",1
"177","scraper",1
"178","secondary nucleus",1
"179","simple core",1
"180","simple or plain platform core",1
"181","simple platform core or nucleus",1
"182","single platform flat core",1
"183","single platform other core",1
"184","skin scraper",1
"185","slab core",1
"186","small biface variety 1",1
"187","small biface variety 2",1
"188","small bifacial early reduction core",1
"189","small core",1
"190","small unifacial pebble core",1
"191","tabular blade core",1
"192","technical core",1
"193","terminal quartz core",1
"194","tranchet blade core",1
"195","transitional form intermediate
between Levallois point core and prismatic blade core",1
"196","trimmed pebble implement",1
"197","unidirectional bipolar core",1
"198","uniface pebble implement Sumatra type",1
"199","uniface pebble implement type A",1
"200","uniface pebble implement type B",1
"201","uniface pebble implement type C",1
"202","uniface pebble implement type D",1
"203","uniface pebble implements",1
"204","uniface pebble tool",1
"205","unifacial centripetal quartz crystal core Type 6",1
"206","unifacial end truncation x 1 quartz crystal core Type 1",1
"207","unifacial end truncation x 2 quartz crystal core Type 2",1
"208","unifacially flake cobble",1
"209","unutilised core",1
"210","upright scraper",1
"211","utilised nucleus",1
"212","yodda",1
