"","emic_component","functional_component","morphological_component","raw_material_component","technological_component","n","percentage"
"1","no","implicit","no","no","explicit",137,0.289640591966173
"2","no","no","no","no","explicit",68,0.143763213530655
"3","no","implicit","explicit","no","explicit",46,0.0972515856236787
"4","no","explicit","no","no","explicit",42,0.0887949260042283
"5","no","explicit","explicit","no","explicit",34,0.0718816067653277
"6","no","no","explicit","no","explicit",18,0.0380549682875264
"7","no","explicit","no","no","no",17,0.0359408033826638
"8","no","implicit","no","explicit","explicit",16,0.0338266384778013
"9","no","explicit","no","explicit","explicit",11,0.0232558139534884
"10","no","implicit","explicit","explicit","explicit",10,0.0211416490486258
"11","no","explicit","explicit","no","no",8,0.0169133192389006
"12","no","implicit","implicit","no","explicit",8,0.0169133192389006
"13","no","implicit","implicit","implicit","explicit",6,0.0126849894291755
"14","no","no","explicit","explicit","explicit",6,0.0126849894291755
"15","no","no","no","explicit","explicit",6,0.0126849894291755
"16","no","explicit","explicit","explicit","explicit",5,0.0105708245243129
"17","no","explicit","no","implicit","explicit",5,0.0105708245243129
"18","no","explicit","no","no","implicit",5,0.0105708245243129
"19","na","na","na","na","na",4,0.00845665961945032
"20","no","implicit","explicit","no","no",3,0.00634249471458774
"21","no","implicit","implicit","explicit","implicit",3,0.00634249471458774
"22","no","explicit","implicit","no","explicit",2,0.00422832980972516
"23","no","implicit","no","explicit","implicit",2,0.00422832980972516
"24","no","implicit","no","no","implicit",2,0.00422832980972516
"25","na","implicit","explicit","explicit","explicit",1,0.00211416490486258
"26","no","explicit","explicit","explicit","no",1,0.00211416490486258
"27","no","explicit","explicit","na","explicit",1,0.00211416490486258
"28","no","explicit","na","explicit","explicit",1,0.00211416490486258
"29","no","explicit","no","explicit","no",1,0.00211416490486258
"30","no","implicit","implicit","no","implicit",1,0.00211416490486258
"31","no","no","explicit","explicit","no",1,0.00211416490486258
"32","no","no","explicit","no","implicit",1,0.00211416490486258
"33","no","no","explicit","no","no",1,0.00211416490486258
